GEO (Codes)	X1	X3	X4	X5	X6	X7	X8	X9	X10	X12
BE10	1215290	110.9	139.2	284.4	70.3	44.1	84.4	48.8	36.8	30.8
BE21	1860470	131.4	352.9	371.1	74.5	52.5	78.8	54.1	37	52.9
BE22	875842	64.1	169.1	167.8	63.4	44.1	87	53	36.3	13.4
BE23	1516283	96.8	302.6	318.4	76.8	56.7	79.5	55.7	37.5	34.8
BE24	1146643	55.9	197.5	281.6	74.2	51.4	83.2	55	38.5	33.4
BE25	1196995	79.6	248.7	224.6	70.1	54.3	70.2	54.1	38.6	15.2
BE32	1346082	94.3	227.7	203.7	54	32	79.8	43.9	36.7	19.5
BE33	1110068	79.7	173.7	197.7	60.2	34.8	78.7	46.6	36	15.5
BE34	286685	20.1	52.9	55.8	60.1	41.5	73.1	52.8	36.4	3.3
BE35	496891	34.7	84.4	90.2	57.5	46.7	71.7	48	36.3	11.5
CZ02	1369332	27.5	514	158.3	76.6	52.9	82.1	61.3	40.9	30.8
CZ03	1226805	32.4	458.4	126.7	78.9	70.9	88.9	58.9	39.8	23.2
CZ04	1115685	59.6	404.4	86.4	66.3	42	88.9	56.9	40.7	10.8
CZ05	1513693	37.1	564	151.4	82	51.4	100	58.2	39.9	30.8
CZ07	1215413	25.1	455.8	120.6	76.6	46.5	92.8	57.3	39.8	23.1
CZ08	1203299	37	437.9	126	75.8	49	97	56.9	38.9	23
DK01	1835562	151.1	350.5	487.1	79.2	47.7	86.2	62.5	33	89
DE11	4143418	343.6	1189.4	771.5	81.7	74.9	85.3	64	34.7	103.4
DE12	2805129	216.7	823.6	491.5	81	77.1	86.2	62.4	34.6	89.7
DE13	2264469	184.7	677.2	369.2	83.1	73	88.8	63.3	34.3	67.8
DE14	1856517	145.1	557.7	319	80.8	67.5	92.2	64.3	34.1	57
DE22	1238528	89.4	438.5	150.9	83.3	79.9	81	63.8	34	18.2
DE24	1067482	73.7	363.4	145.4	82.2	66.7	94.6	62	34.4	17.3
DE25	1770401	129.5	513.3	285.2	76.1	59.8	85.4	60.6	35.1	45.6
DE26	1317124	87.7	425.8	207.6	83.5	68.6	87.3	62.8	34.2	23.1
DE27	1887754	136.4	619.2	279	82	68.6	87.6	63.1	34.8	35.9
DE30	3644826	210.8	892.8	861.5	78.2	53.7	88.2	60.3	35.3	137
DE50	682986	61.1	187.1	100.4	74.4	61.9	88.4	56.9	33.6	12.1
DE60	1841179	142.8	482.2	376.7	83.1	72.5	88.8	62.5	35.4	53.7
DE71	3998724	333.6	1060.3	743.7	80.2	69	88.2	61.2	35.1	123.3
DE72	1047262	77.3	302.5	153.9	78.4	67.3	81.3	58	33.9	24.3
DE73	1219823	85.5	383.7	165.8	82.2	66.5	89.5	59.5	34	15.7
DE91	1596396	107.7	457.9	239.7	77.1	67.9	87.3	57.6	34	32.2
DE92	2149805	153.1	641.7	317.1	76.2	54.1	84.1	59	34.3	36.5
DE93	1710914	117.3	550.9	210.6	80.8	66.9	86.1	59.6	34.4	19.5
DE94	2525333	200.8	826.9	302.1	77.5	68.8	86.5	60.7	34.2	21.4
DEA2	4468904	337.5	1228.8	721.2	78.4	64.5	85.8	58.5	34.7	109.6
DEA3	2623619	204	813.5	351.1	77.6	66.8	84.7	59.4	33.8	31.4
DEA4	2055310	162.2	634.8	252.8	78	70.3	87.5	59.1	33.8	33.5
DEA5	3582497	296.3	1073.9	430.6	74.9	61.3	86.1	57	34	50.4
DEB1	1495885	120.8	456	200.8	79.1	68.2	83.4	60.1	34.5	21.9
DEB3	2057952	169.5	578.7	319.6	76.3	63.5	84.8	59.4	34.4	46.4
DEF0	2896712	191.9	940.8	360.7	78.6	70.3	83.6	59.3	34.6	48.8
IE06	2411912	138.7	434.9	638.8	79.7	46.5	89.3	61.6	36.6	110.9
EL30	3742235	203.2	784	747.7	55.1	37.7	60.3	44.7	40.2	81.5
ES11	2700441	425.8	296.5	517.5	64	49.6	85.9	46.4	38.2	33.5
ES12	1022205	124.5	108.3	217.7	60.6	36.6	75.7	43.1	37.9	14.4
ES13	581641	75.8	73.7	122.1	64.6	57.9	72.1	48.8	37	5
ES21	2177880	239.5	226.1	564.5	65.7	48.2	88.1	50.4	36.4	36.3
ES22	649946	81.2	78.4	155.1	80.6	75.5	64.1	53.2	36.7	8.9
ES23	313571	56.2	37.9	61.9	75.1	70.7	75.9	52.8	37.3	1.7
ES24	1320586	203.3	179.6	269.5	67.9	55.8	77	52.6	37.8	16.7
ES41	2407733	391.8	270.4	458.3	64.3	54.9	75.7	48	37.7	23.5
ES42	2034877	436.7	226.6	321.3	71.5	65.1	80.7	48.3	37.7	20.1
ES52	4974969	884.1	601.4	943.4	68.3	59.5	75.7	49.4	37.7	54.1
ES53	1188220	254.6	177.2	214.3	70.4	61.9	83.2	56.1	37.9	10.9
ES62	1487663	315.8	164.2	239.1	64.1	60.6	82.8	49.8	37.8	9.7
ES70	2206901	432.8	300.3	405.6	71.4	66.5	66.2	47.2	37.3	15.6
FRF1	1903646	127.9	435.6	359.8	79.6	68.1	91.3	55.2	36.5	41.4
FRF3	2322213	152.1	476.8	372.9	59.2	51.6	76.8	49.4	36.4	20
FRI1	3458041	216.7	747.1	583.9	64.1	60.2	77.8	49.9	37.4	42.5
